1.2001,0.0012446,0.42297,0.74537,0.11129,1.6572,0.04412,0.16727,0.16768,0.50897,1.9169,0.23666,0.61917,2.7263,0.77598,1.8904,1.2057,1.1001,0.63149,1.7452,1.2765
0.5491,0.00092473,0.41946,1.3473,1.2828,2.2068,0.13047,0.025226,0.71861,0.029238,0.62089,0.52961,2.7836,0.10123,1.9544,0.49158,0.6298,0.36353,0.082749,1.0207,0.65403
0.83323,0.0012853,0.42321,1.5294,0.20275,2.1064,1.1917,1.1065,0.67359,0.68177,1.4596,1.1958,1.8509,1.7103,2.4917,0.37982,2.9142,1.9085,0.43335,0.75939,0.066835
0.59556,0.00097733,0.42433,0.81499,0.46908,0.32037,1.8743,0.24386,0.92838,0.62758,0.40955,0.59943,0.42127,0.023077,1.2366,0.7217,0.12731,0.7549,0.45837,2.4924,1.1006
2.547,0.00076967,0.42278,0.24274,0.63246,0.49389,3.4644,0.15815,0.059498,0.59957,0.045367,0.89346,0.053651,2.2546,0.36542,0.48065,0.48084,0.1149,1.2138,0.676,0.27858
1.5772,0.0011579,0.42743,0.19869,0.69289,0.18676,1.7968,0.31234,0.53445,0.081679,0.46757,2.0926,0.93952,1.6154,1.0548,0.18435,0.58317,1.9103,0.20388,0.88024,0.65222
4.3025,0.0008463,0.42064,0.21992,2.6741,1.6113,1.0286,0.19542,0.34152,2.7458,0.37637,2.1464,0.36213,0.92911,0.13287,0.75273,1.3605,1.7626,1.356,0.4912,0.032175
0.95505,0.0015584,0.41755,1.2061,1.8533,0.51858,0.12622,0.42824,1.9869,0.84569,0.54571,0.34007,0.094051,4.6019,1.6542,0.20997,0.11986,0.12692,0.37584,1.822,0.17766
1.6668,0.00089936,0.42284,1.3701,0.2433,0.38632,0.025226,2.2823,0.35813,2.0969,2.8101,0.11123,0.22853,0.29188,0.16608,0.39213,1.0789,0.54944,0.18345,1.165,0.14605
1.6149,0.00090511,0.41947,0.1239,0.58607,0.072784,1.2896,1.0911,2.0398,0.34905,0.035597,0.60013,0.038463,5.2492,0.45715,0.81559,0.69575,1.3679,1.3265,0.6174,1.442
0.0062959,0.00086902,0.42515,1.1497,0.2633,0.66392,0.15811,0.54683,0.62799,1.9272,0.2308,0.026553,0.085663,0.58792,0.16934,1.3858,0.8893,0.52691,1.1666,2.6247,0.38585
0.016197,0.0014066,0.42001,1.067,0.39943,0.065934,0.87391,0.80666,0.017661,0.56573,0.86553,2.8794,0.28904,0.67838,0.56177,1.2479,0.721,0.84566,0.098908,1.0677,0.88526
2.0224,0.00061989,0.42565,1.2959,0.58924,1.0453,0.27745,1.2161,0.12353,5.4367,0.11915,0.099618,0.025234,0.2951,1.2939,0.15663,0.37471,0.42758,0.055232,0.19104,0.18091
1.8507,0.0008673,0.42156,0.9927,1.6976,0.89177,1.3691,0.61059,0.9048,0.79864,0.90614,0.82931,0.60595,1.8981,0.41715,0.10988,0.8684,1.5999,0.66811,0.58595,2.9775
0.84053,0.0014481,0.42256,1.4141,0.14432,0.5544,0.4928,0.76892,0.30197,2.6629,0.58912,1.005,0.036914,0.1563,0.20272,0.12735,3.175,0.80774,1.6676,1.0133,0.18048
0.74322,0.00086386,0.42317,2.5968,0.73776,0.97891,1.241,2.004,1.4784,3.1853,1.2034,0.30985,0.038997,1.0161,0.35363,0.44629,0.97063,0.59517,0.045306,1.5968,1.0926
0.26383,0.00082784,0.42384,0.056435,0.13822,1.8703,0.60402,0.54626,2.2727,1.2639,0.29694,1.1146,0.0075299,0.13554,0.65741,1.1939,1.5443,3.0304,0.14357,0.085336,1.2217
